shop.id,arm,time,date,num.cust,num.agyw,num.condom.agyw,num.oc.agyw,num.ec.agyw,num.contra.agyw,num.preg.agyw,num.hivref.agyw,num.fpref.agyw,num.pregref.agyw,num.ref.agyw,num.hivst.rec.agyw,ward,time2,num.nonagyw,agyw.prop,wday,wend,duration,hour.min.st
Comparison 3,Comparison,0,2019-07-30,11,1,0,0,0,0,0,0,0,0,0,NA,ward1,0,10,0.09090909090909091,Tue,Weekday,3,14.5
Comparison 3,Comparison,0,2019-08-03,14,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,14,0,Sat,Weekend,3,9.5
Comparison 3,Comparison,0,2019-08-05,19,2,0,0,0,0,0,0,0,0,0,NA,ward1,0,17,0.10526315789473684,Mon,Weekday,3.0166666666666666,11.166666666666666
Comparison 3,Comparison,0,2019-08-16,13,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,13,0,Fri,Weekday,3,12
Comparison 4,Comparison,0,2019-07-24,6,1,0,0,0,0,1,0,0,0,0,NA,ward3,0,5,0.16666666666666666,Wed,Weekday,3,10.083333333333334
Comparison 4,Comparison,0,2019-07-25,5,2,0,0,0,0,0,0,0,0,0,NA,ward3,0,3,0.4,Thu,Weekday,3,10.5
Intervention 3,Intervention (Queen Club),0,2019-08-08,0,0,0,0,0,0,0,0,0,0,0,NA,ward3,0,0,NA,Thu,Weekday,2.5,14
Intervention 3,Intervention (Queen Club),0,2019-08-09,7,2,0,0,0,0,0,0,0,0,0,NA,ward3,0,5,0.2857142857142857,Fri,Weekday,3,16
Intervention 3,Intervention (Queen Club),0,2019-08-17,3,0,0,0,0,0,0,0,0,0,0,NA,ward3,0,3,0,Sat,Weekend,1,14.5
Intervention 4,Intervention (Queen Club),0,2019-07-31,0,0,0,0,0,0,0,0,0,0,0,NA,ward3,0,0,NA,Wed,Weekday,3,10.5
Intervention 4,Intervention (Queen Club),0,2019-08-04,4,0,0,0,0,0,0,0,0,0,0,NA,ward3,0,4,0,Sun,Weekend,3,14.5
Intervention 4,Intervention (Queen Club),0,2019-08-12,11,5,0,0,0,0,0,0,0,0,0,NA,ward3,0,6,0.45454545454545453,Mon,Weekday,3,17
Intervention 4,Intervention (Queen Club),0,2019-08-13,7,0,0,0,0,0,0,0,0,0,0,NA,ward3,0,7,0,Tue,Weekday,3,16.5
Intervention 4,Intervention (Queen Club),0,2019-08-17,4,0,0,0,0,0,0,0,0,0,0,NA,ward3,0,4,0,Sat,Weekend,3,16.5
Comparison 5,Comparison,0,2019-07-26,3,0,0,0,0,0,0,0,0,0,0,NA,ward4,0,3,0,Fri,Weekday,3,15.5
Comparison 5,Comparison,0,2019-08-03,5,0,0,0,0,0,0,0,0,0,0,NA,ward4,0,5,0,Sat,Weekend,3.0166666666666666,16.65
Comparison 5,Comparison,0,2019-08-07,4,1,0,0,0,0,0,0,0,0,0,NA,ward4,0,3,0.25,Wed,Weekday,3,13.666666666666666
Comparison 5,Comparison,0,2019-08-08,3,0,0,0,0,0,0,0,0,0,0,NA,ward4,0,3,0,Thu,Weekday,3.0833333333333335,7.25
Comparison 6,Comparison,0,2019-08-05,3,0,0,0,0,0,0,0,0,0,0,NA,ward4,0,3,0,Mon,Weekday,3,8.25
Comparison 6,Comparison,0,2019-08-07,4,1,0,0,0,0,0,0,0,0,0,NA,ward4,0,3,0.25,Wed,Weekday,2.5,11
Comparison 6,Comparison,0,2019-08-09,11,2,0,0,0,0,1,1,0,0,1,NA,ward4,0,9,0.18181818181818182,Fri,Weekday,3,17.333333333333332
